i	north	east	parent	distance	visited
243	51.6667	7.81667	0	39.1222	1
244	32.5	74.5333	0	94.1354	1
245	53.4075	-2.99194	0	36.7146	1
246	35.6839	139.774	0	149.957	1
247	-9.53333	-77.5333	0	126.168	1
248	36.7764	3.05861	0	53.3114	1
249	32.6351	110.775	0	124.748	1
250	5.86667	-55.1667	0	100.607	1
251	41.4584	15.5519	0	50.972	1
252	49.8919	2.29778	0	40.1738	1
253	35.7833	140.317	0	150.427	1
254	45.2644	19.8317	0	48.9343	1
255	36.2286	-115.147	0	127.083	1
256	34.9756	138.382	0	148.921	1
257	37.95	58.3833	0	78.2165	1
258	-22.8039	-43.3719	0	120.855	1
259	50.7339	7.09972	0	39.9028	1
260	22.67	88.35	0	111.081	1
261	34.6461	50.8789	0	75.1845	1
262	19.2647	-98.8975	0	121.59	1
263	35.2739	59.2194	0	80.6343	1
264	51.1667	7.08333	0	39.4741	1
265	32.705	-97.1228	0	112.763	1
266	32.9773	114.025	0	127.489	1
267	43.4132	24.6169	0	52.6908	1
268	-34.6833	-58.5	0	137.725	1
269	33.625	114.642	0	127.753	1
270	45	41.1167	0	60.9556	1
271	27.705	106.934	0	123.756	1
272	18.5425	-72.3386	0	101.681	1
273	34.7736	111.195	0	124.154	1
274	46.8081	130.365	0	137.334	1
275	37.6614	-120.994	0	131.829	1
276	35.7769	140.001	0	150.135	1
277	-34.65	-58.65	0	137.759	1
278	56.9167	59.95	0	68.4727	1
279	22.5333	113.35	0	131.909	1
280	32.0807	34.8338	0	67.5872	1
281	34.3422	118.01	0	130.476	1
282	47.2081	7.5375	0	43.4507	1
283	24.82	93.95	0	114.346	1
284	29.3647	113.131	0	128.356	1
285	33.6833	-7.38333	0	56.7986	1
286	14.1389	-16.0764	0	77.5458	1
287	-7.02444	-37.28	0	103.94	1
288	29.98	48.47	0	77.1475	1
289	-31.9522	115.859	0	168.213	1
290	32.3617	-86.2792	0	103.761	1
291	48.6239	22.295	0	47.0005	1
292	42.0103	20.9714	0	52.3719	1
293	30.2431	-92.0126	0	109.714	1
294	21.0167	75.5667	0	102.318	1
295	35.5833	53.3833	0	76.2296	1
296	36.9758	120.714	0	131.846	1
297	50.6319	3.0575	0	39.4866	1
298	52.2692	10.5211	0	39.1703	1
299	21.4225	39.8261	0	79.3032	1
300	53.0167	18.6167	0	41.4047	1
301	31.8639	117.281	0	130.899	1
302	41.3825	2.17694	0	48.6662	1
303	51.7519	-1.25778	0	38.2687	1
304	19.6158	37.2164	0	79.6178	1
305	-21.5317	-64.7311	0	128.955	1
306	13.8667	100.517	0	126.095	1
307	-22.3569	-47.3839	0	121.94	1
308	22.5168	110.482	0	129.462	1
309	22.61	88.4	0	111.157	1
310	42.3317	-83.0475	0	95.7557	1
311	5.4145	100.329	0	131.227	1
312	39.6511	27.8842	0	57.5546	1
313	12.6	37.4667	0	85.9913	1
314	41.4167	-8.51667	0	49.3242	1
315	54.1903	16.1817	0	39.2961	1
316	-26.107	28.0517	0	119.448	1
317	-0.895	119.859	0	150.427	1
318	24.0889	32.8997	0	73.6659	1
319	36.5117	40.7422	0	67.2379	1
320	18.4333	79.15	0	106.708	1
321	2.93	101.69	0	133.873	1
322	35.0622	136.684	0	147.311	1
323	45.5333	-73.5167	0	85.9185	1
324	40.5122	141.488	0	149.893	1
325	40.7127	-74.006	0	88.9164	1
326	-35.2931	149.127	0	194.775	1
327	-25.4297	-49.2719	0	125.506	1
328	22.1006	106.75	0	126.515	1
329	31.8914	34.8078	0	67.7362	1
330	-14.8333	-64.9	0	123.297	1
331	35.8189	-78.6447	0	95.5018	1
332	41.5503	-8.42	0	49.1759	1
333	36.2688	50.0041	0	73.3993	1
334	-29.755	-57.0878	0	132.666	1
335	-19.2622	146.816	0	183.011	1
336	31.7514	34.9886	0	67.9493	1
337	47.9947	7.84972	0	42.7324	1
338	41.005	39.7225	0	63.0745	1
339	49.0546	-122.328	0	128.999	1
340	38.3037	116.845	0	127.771	1
341	18.3447	-99.5397	0	122.648	1
342	19.6868	-99.1284	0	121.533	1
343	39.0099	106.369	0	117.96	1
344	57.15	-2.1	0	32.9171	1
345	36.5114	-4.88344	0	53.7111	1
346	30.3244	112.236	0	127.115	1
347	27.3019	105.286	0	122.541	1
348	45.0342	23.2747	0	50.6324	1
349	16.0333	-16.5	0	75.7847	1
350	27	84.8667	0	105.695	1
351	28.8523	121.141	0	135.699	1
352	29.964	77.546	0	98.0699	1
353	13.75	100.517	0	126.165	1
354	25.7989	113.027	0	129.988	1
355	35.1333	36.75	0	66.0372	1
356	8.76	-75.8856	0	111.169	1
357	10.6333	-71.6333	0	106.913	1
358	36.2917	139.376	0	149.366	1
359	39.5964	-104.844	0	116.33	1
360	25.1211	99.169	0	118.506	1
361	13.7689	-13.6672	0	77.4466	1
362	13.1833	30.2167	0	82.546	1
363	60.1756	24.9342	0	38.8743	1
364	34.4836	135.424	0	146.361	1
365	39.7747	64.4286	0	81.6923	1
366	52.0167	8.53333	0	38.9301	1
367	-7.64062	112.906	0	149.27	1
368	33.3667	35.4833	0	66.8311	1
369	35.8303	139.873	0	149.996	1
370	22.8167	89.55	0	111.95	1
371	23.3167	75.0667	0	100.408	1
372	35.91	117.78	0	129.607	1
373	52.7333	15.25	0	40.2662	1
374	21.17	72.83	0	100.209	1
